id;question;expected_answer;context_hint;category;difficulty;Reference_Chunks
33;Welche Bewerbungsfrist gilt für den Master Studiengang Information Systems?;Für den Masterstudiengang Information Systems gilt eine Bewerbungsfrist bis zum 15. Juni;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;easy;"Überblick
nebeneinander 6 Icons für Abschluss, Dauer, Credits, Sprache, Inhalt und International
Abschluss:	Master of Science
Dauer	4 Semester, Vollzeit
Credits:	120 ECTS
Sprache:	Englisch und Deutsch (in ausgewählten Kursen)
Inhalt:	Interdisziplinäre Disziplin der Betriebswirtschaftslehre und Informatik, die sich mit der Konzeption, Entwicklung und Anwendung von Informationssystemen in Wirtschaft, Verwaltung und zunehmend auch im privaten Bereich beschäftigt.
International:	Auslandssemester, Summer School (optional)
Bewerbungsfrist:	15.06."
34;Welche zentralen Kompetenzen und Themen werden für den Master Information Systems an der WiSo-Köln hervorgehoben?;Im Master Information Systems erwirbst du theoretische und methodische Grundlagen, um zentrale Themen wie Data Science, digitale Transformation und Innovation, Prozesse und Geschäftsmodelle sowie Lösungen für eine nachhaltige Gesellschaft zu bearbeiten. Gleichzeitig wirst du im interdisziplinären Bereich der Wirtschaftsinformatik ausgebildet und erwirbst die auf dem Arbeitsmarkt gefragte Schlüsselfähigkeit, Betriebswirtschaft und Informatik miteinander zu verbinden.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;medium;"Ihre Vorteile auf einen Blick:
theoretische und methodische Grundlagen für die Auseinandersetzung mit zentralen Themen wie Data Science, digitale Transformation und Innovation, Prozesse und Geschäftsmodelle sowie Lösungen für eine nachhaltige Gesellschaft.
Ausbildung im interdisziplinären Bereich der Wirtschaftsinformatik, der seine Wurzeln in der Informatik, den Wirtschaftswissenschaften und der Betriebswirtschaftslehre hat.
die auf dem Arbeitsmarkt oft geforderte Schlüsselfähigkeit, Betriebswirtschaft und Informatik zu verbinden."
35;Für wen eignet sich der Studiengang Master Information Systems?;Der Master Information Systems ist besonders für Bewerber:innen geeignet, die einen Bachelorabschluss in Informatik, Wirtschaftsinformatik, Wirtschaftswissenschaften, Betriebswirtschaft oder einem verwandten Bereich mitbringen. Außerdem sollten sie technische Fähigkeiten in Mathematik und Statistik sowie in der Informatik – insbesondere in Programmierung und Kodierung – haben, Interesse an einem internationalen und interkulturellen Arbeitsumfeld mitbringen, gerne im Team arbeiten und bereit sein, den nächsten Karriereschritt als breit aufgestellte Wirtschaftsinformatiker:innen in der Unternehmenswelt zu gehen.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;medium;"Für wen ist das Programm geeignet?
einen Bachelor-Abschluss in Informatik, Wirtschaftsinformatik, Wirtschaftswissenschaften, Betriebswirtschaft oder verwandten Bereichen haben.
 
technische Fähigkeiten in Bezug auf Mathematik und Statistik, Informatik, insbesondere Programmierung und Kodierung mitbringen.
 
Interesse an einem internationalen und interkulturellen Arbeitsumfeld haben.
 
teamfähig sind, denn das Arbeiten in Gruppen wird in Seminaren oft geübt und ist ein wichtiger Schlüsselfaktor für die spätere Arbeit in Unternehmen.
 
bereit sind, den nächsten Karriereschritt in der Unternehmenswelt als breit aufgestellte:r Wirtschaftsinformatiker:in zu gehen"
36;Von welchem Institut wird der Master Information Systems an der WiSo-Köln getragen und welche wissenschaftlichen Auszeichnungen werden dort hervorgehoben?;Der Master Information Systems wird vom Kölner Institut für Wirtschaftsinformatik (CIIS) getragen. Auf der Programmseite wird hervorgehoben, dass die Professoren Wolf Ketter, Christoph Rosenkranz und Detlef Schoder im WirtschaftsWoche-Ranking zu den Top 5 % aller Wirtschaftsforscher:innen im deutschsprachigen Raum gehören. Außerdem zählt das CIIS im AIS-Ranking 2022 zu den bestplatzierten Wirtschaftsinformatik-Forschungseinrichtungen weltweit: Platz 1 in Deutschland, Top 10 in Europa und Top 100 weltweit.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;medium;"Programmübersicht
Vorbereitung auf zukünftige Herausforderungen
Das Programm wird vom Kölner Institut für Wirtschaftsinformatik (CIIS) ausgerichtet. Mitglieder des CIIS und das CIIS auf institutioneller Ebene haben bemerkenswerte Anerkennungen in den jüngsten Ranking-Umfragen erreicht; z.B. laut WirtschaftsWoche (WIWO) Ranking, einem führenden deutschen Wirtschaftsmagazin, gehören die Professoren Wolf Ketter, Christoph Rosenkranz und Detlef Schoder alle zu den Top 5 % aller Wirtschaftsforscher:innen im deutschsprachigen Raum. Darüber hinaus gehört das CIIS laut dem kürzlich veröffentlichten Ranking 2022 der Association of Information Systems zu den bestplatzierten Wirtschaftsinformatik-Forschungseinrichtungen weltweit (Platz 1 in Deutschland, Top 10 in Europa und Top 100 weltweit)."
37;Wie beschreibt die WiSo-Fakultät den Praxisbezug im Masterstudiengang Information Systems?;Im Masterstudiengang Information Systems betont die WiSo-Fakultät ihre langjährige Erfahrung in der Zusammenarbeit mit Unternehmen und mit Gastdozent:innen aus verschiedenen Berufsfeldern. Diese Fach- und Führungskräfte bringen hochrelevante Branchenerfahrung in das Programm ein, sodass aktuelle Programminhalte entstehen, die Praxis und Theorie eng verbinden und die reale Welt widerspiegeln.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;medium;"Praxisbezug
Unsere Fakultät profitiert von der langjährigen Erfahrung in der Zusammenarbeit mit Unternehmen und mit Gastdozentierenden aus verschiedenen Berufsfeldern. Diese Fach- und Führungskräfte bringen hochrelevante Branchenerfahrung in das Programm ein, was zu spezifischen, aktuellen Programminhalten führt, die Praxis und Theorie verbinden und die reale Welt widerspiegeln."
38;Welche Beratungsangebote für Studieninteressierte werden im Zusammenhang mit dem Master Information Systems angeboten und wer koordiniert sie?;Studieninteressierte werden auf Orientierungs- und Beratungsangebote hingewiesen, die vom WiSo Student Service Point koordiniert werden und eine individuelle, auf die Bedürfnisse der Interessierten zugeschnittene Beratung bieten.;https://wiso.uni-koeln.de/de/studium/master/master-information-systems;Studiengang spezifisch;easy;"Noch unentschieden?

Dann lerne unsere Angebote für Studieninteressierte kennen - koordiniert vom WiSo-Student Service Point - die Dir eine individuelle Beratung bieten, die genau auf Deine Bedürfnisse zugeschnitten ist.

Orientierungs- und Beratungsangebot für Studieninteressierte"
39;Wie unterstützt der WiSo-Career-Service Studierende?;Der WiSo-Career-Service berät Studierende bei der Suche nach passenden Praktika, bei der Berufswahl und unterstützt sie in Karriereplanung und Bewerbungsprozess.;https://wiso.uni-koeln.de/de/studium/bewerbung/studium-an-der-wiso-fakultaet;Services/Info;easy;"WiSo-Career-Service
Der WiSo-Career-Service berät und unterstützt Studierende der WiSo-Fakultät bei der Suche nach einem passenden Praktikum, der Berufswahl und hilft bei der Karriereplanung und dem Bewerbungsprozess!
Wiso-Career-Service"
40;Welche Unterlagen muss ich meiner Verifikationsagentur geben, damit sie meinen Abschluss prüfen lassen kann?;Damit deine Verifikationsanfrage bearbeitet werden kann, musst du deiner Verifikationsagentur zwei Dinge als PDF zur Verfügung stellen: Erstens eine Kopie bzw. einen Scan deines Personalausweises oder Passes, aus dem Unterschrift, Name (ggf. Geburtsname) und Geburtsdatum hervorgehen. Zweitens eine von dir handschriftlich unterschriebene Vollmacht, in der ausdrücklich der Name der anfragenden Agentur genannt ist und die ausdrücklich erlaubt, dass die Universität zu Köln deine Daten an diese Agentur übermitteln darf. Auf der WiSo-Seite steht zudem eine PDF-Vorlage für diese Einwilligungserklärung zur Verfügung, die du nutzen kannst.;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;Services/Info;medium;"Bitte fügen Sie Ihrer Anfrage daher die folgenden Unterlagen bei (Bitte beachten Sie, dass ausschließlich Anlagen im PDF-Format geöffnet und bearbeitet werden können):

Kopie/Scan des Personalausweises oder Passes der betreffenden Kandidatin/des betreffenden Kandidaten, die die Unterschrift, den Namen (ggf. Geburtsnamen) sowie das Geburtsdatum des Kandidaten enthält
Von der Kandidatin/dem Kandidaten handschriftlich unterzeichnete Vollmacht
Wichtig: Diese Vollmacht muss zwingend den Namen der anfragenden Agentur sowie eine explizite Vollmacht, dass die Daten von der angefragten Stelle (Universität zu Köln) herausgegeben werden dürfen, enthalten. Es ist keinesfalls ausreichend, wenn die Vollmacht nur der anfragenden Agentur die Abfrage der Daten erlaubt. Gerne kann die folgende Vorlage genutzt werden: Vorlage Einwilligungserklärung zur Verifikation von Abschlüssen (pdf)."
41;In welchem Dateiformat müssen die Unterlagen für eine Verifikationsanfrage eingereicht werden? Reicht ein Foto als JPG oder PNG?;Ausschließlich Anlagen im PDF-Format können geöffnet und bearbeitet werden können. Bitte reichen Sie dementsprechend Ihre Unterlagen als PDF ein. Reine JPG- oder PNG-Dateien entsprechen nicht den Vorgaben aund sollten vorher in ein PDF umgewandelt werden;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;Services/Info;easy;Bitte fügen Sie Ihrer Anfrage daher die folgenden Unterlagen bei (Bitte beachten Sie, dass ausschließlich Anlagen im PDF-Format geöffnet und bearbeitet werden können):
42;Wie lange kann die Bearbeitung von Verifikationsanfragen zur Verifikation von Abschlüssen an der WiSo-Fakultät dauern und was gilt für Nachfragen in den ersten drei Wochen nach Versand der Unterlagen?;Die Bearbeitung von Verifikationsanfragen kann mehrere Wochen in Anspruch nehmen. Es wird ausdrücklich darum gebeten, innerhalb der ersten drei Wochen nach Versand der Unterlagen keine Nachfragen zum Bearbeitungsstand zu stellen.;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;Services/Info;medium;Bitte beachten Sie, dass die Bearbeitung dieser Anfragen mehrere Wochen in Anspruch nehmen kann. Wir möchten Sie deshalb bitten, von Nachfragen innerhalb der ersten drei Wochen nach Versand der Unterlagen abzusehen.
43;Was ist mit einer Verifikationsanfrage gemeint?;Eine Verifikationsanfrage ist eine Anfrage einer externen Stelle, zum Beispiel einer Verifikationsagentur oder eines Arbeitgebers, mit der geprüft werden soll, ob du deinen Studienabschluss tatsächlich an der Wirtschafts- und Sozialwissenschaftlichen Fakultät der Universität zu Köln erworben hast. Die Auskunft über deinen Abschluss gilt datenschutzrechtlich als Übermittlung personenbezogener Daten und ist daher nur unter Einhaltung der gesetzlichen Vorgaben erlaubt.;https://wiso.uni-koeln.de/de/services/verifikation-von-abschluessen;Services/Info;easy;"Bei Verifikationsanfragen handelt es sich um Anfragen zur Bestätigung von Studienabschlüssen, die Dritte an die Wirtschafts- und Sozialwissenschaftliche Fakultät der Universität zu Köln richten.

Die Erteilung einer Auskunft ist in der datenschutzrechtlichen Terminologie eine „Übermittlung personenbezogener Daten"". Sie ist nur unter Einhaltung strenger gesetzlicher Vorgaben gestattet."
44;An welche Stellen kann ich mich wenden, wenn ich Probleme oder Beschwerden zu meinem Studium habe?;"Du kannst dich mit Problemen oder Beschwerden zu deinem Studium an zwei zentrale Anlaufstellen wenden: Der WiSo Student Service Point ist die offizielle Beratungsstelle der Fakultät. Dort werden deine Anliegen entgegengenommen, es wird nach einer möglichst schnellen Lösung gesucht und du kannst dich persönlich, per E-Mail oder telefonisch melden; auf Wunsch werden deine Anliegen auch diskret und anonym behandelt. Alternativ kannst du dich an die WiSo-Fachschaft wenden, die gerade bei persönlichen Problemen – zum Beispiel mit Lehrenden – oft als niedrigschwellige Anlaufstelle „von Student zu Student“ wahrgenommen wird. Beide Stellen sind miteinander vernetzt und können bei Bedarf die jeweils andere in die Bearbeitung deines Anliegens einbeziehen.";https://wiso.uni-koeln.de/de/services/wiso-student-service-point/beschwerdemanagement;Services/Info;medium;"Die Anlaufstellen an der WiSo
Es gibt primär zwei Anlaufstellen, an die sich Studierende bei Problemen, Beschwerden oder Rückmeldungen zum Studium melden können.

Dies ist einerseits der WiSo Student Service Point, welcher als offizielle Beratungsstelle der Fakultät alle Anliegen der Studierenden entgegennimmt und sich um deren schnellstmögliche Lösung kümmert. Durch die Verortung im Studiendekanat und die Nähe zum WiSo-Prüfungsamt können hier i.d.R. schnell Lösungen erzielt werden. Studierende haben die Möglichkeit, ihr Anliegen persönlich, per E-Mail oder telefonisch einzubringen. Alle Anliegen werden auf Wunsch auch diskret und anonym behandelt. Insbesondere, wenn das Feedback die Beratung und den Service des WiSo Student Service Point selbst betrifft, wenden Sie sich bitte über das WiSSPo-Kontaktformular und den Anfragegrund ""Lob, Kritik, Beschwerde"" direkt dorthin, damit die Situation schnellstmöglich geklärt werden kann.
 
Andererseits können sich Studierende auch an die WiSo-Fachschaft wenden. Dieses Angebot wird z.T. hinsichtlich persönlicher Probleme z.B. mit Lehrenden oft als niederschwelliger empfunden, da hier die Probleme ""von Student zu Student"" entgegengenommen werden.
Beide Stellen sind miteinander vernetzt, so dass auch die jeweils andere Stelle miteinbezogen werden kann, sofern dies als sinnvoll erscheint."
45;Was passiert, nachdem ich ein Problem beim WiSSPo gemeldet habe?;Wenn du ein Problem über den WiSo Student Service Point (WiSSPo) meldest, gibt es grundsätzlich drei Möglichkeiten, wie damit umgegangen wird. Möglicherweise kann das Anliegen direkt im WiSSPo gelöst werden, zum Beispiel im persönlichen Gespräch oder indem dort sofort mit einer zuständigen Stelle Rücksprache gehalten wird und somit eine sofortige Klärung erfolgen kann. Falls das nicht ausreicht, wird dein Problem an eine geeignete Stelle wie etwa das Prüfungsamt oder das Studierendensekretariat weitergeleitet, die dann eine Lösung erarbeitet. Handelt es sich um ein grundlegendes Problem, kann der Fall zudem an höhere Gremien wie Studiendekan*in, Studienbeirat oder die Engere Fakultät eskaliert werden, wo schließlich auf Dekanats- oder Fakultätsebene eine Lösung gesucht wird.;https://wiso.uni-koeln.de/de/services/wiso-student-service-point/beschwerdemanagement;Services/Info;hard;"Die Anlaufstellen an der WiSo



Problemlösungsfindung
Sobald das Problem direkt oder weitergeleitet im WiSSPo eingegangen ist, beginnt die Problemlösung. In der Regel gibt es hierfür drei Möglichkeiten:

Das Problem kann unmittelbar mit dem Berater gelöst werden. Dies kann direkt im Gespräch erfolgen, indem beispielsweise alternative Optionen der Studienplanung aufgezeigt werden oder es wird unmittelbar mit einer verantwortlichen Stelle (z.B. Anrechnungszentrum) Rücksprache gehalten, so dass eine sofortige Klärung erfolgen kann. Oder, wenn der WiSSPo nicht der richtige Ansprechpartner ist, kann dieser direkt genannt werden, so dass sich der Studierende an die richtige Adresse (z.B. Studierendensekretariat) wenden kann.
 
Das Problem kann nicht unmittelbar in der Beratung gelöst werden und wird daher an eine zuständige Stelle (z.B. Prüfungsamt) weitergeleitet. Dort kann nach kurzer Zeit eine Lösung herbeigeführt werden, die dem Studierenden mitgeteilt wird.
 
Es handelt sich um ein grundsätzliches Problem, das nicht unmittelbar durch Rücksprachen geklärt werden kann. In solchen Fällen wird nach Absprache im Studiendekanat das Problem weiter an höhere Stellen getragen (z.B. Studiendekan:in, Studienbeirat oder Engere Fakultät). Hier wird nach erfolgter Eskalation das Ergebnis dem Studierenden ebenfalls mitgeteilt. Dies nimmt i.d.R. dann aber mehrere Wochen in Anspruch."
46;Wie sieht der Prozess des Beschwerdemanagements an der WiSo-Fakultät aus?;"Beim Beschwerdemanagement an der WiSo-Fakultät beginnt der Prozess damit, dass bei dir als Studierender ein Problem auftritt. Dieses Problem meldest du an den WiSo Student Service Point (WiSSPo) – telefonisch, per E-Mail oder in der persönlichen Sprechstunde; es kann auch von externen Stellen wie dem International Office oder der Fachschaft an den WiSSPo herangetragen werden. Dort wird dein Anliegen entweder direkt vom WiSSPo-Team gelöst, an eine passendere Stelle wie Prüfungsamt oder Studierendensekretariat weitergeleitet oder – bei grundsätzlich größeren bzw. komplexen Fällen – an eine höhere Ebene eskaliert, etwa an Studiendekan*in, Engere Fakultät oder den Studienbeirat. Auf jeder dieser Ebenen wird an einer Lösung gearbeitet, bis dein Problem schließlich als gelöst gilt und der Prozess damit abgeschlossen ist.";file://D:/Uni-Köln/Masterarbeit/Software/uzk-masterarbeit/data/pdf_cache/__wiso.uni-koeln.de_sites_fakultaet_bilder_studium_Service_und_Beratung_Beschwerdemanagement_WiSo.pdf;Services/Info;hard;"Problem ist bei 
Studierender/
Studierendem 
aufgetreten
OR
Problem melden 
an den WiSSPo per Mail
Problem melden an den 
WiSSPo
per Telefon
Problem wird von externer 
Stelle an den WiSSPo
herangetragen (z.B. 
International Office, 
Fachschaft etc.)
OR
Problem melden an den 
WiSSPoin der persönlichen 
Sprechstunde
Problem ist 
eingegangen 
Problem wird vor Ort durch 
das WiSSPo-Team gelöst
OR
Problem wird an eine 
geeignetere Stelle 
weitergeleitet (z.B.  
Prüfungsamt, 
Studierendensekretariat etc.) 
Problem wird an eine höhere 
Stelle weitergeleitet (z.B. 
Studiendekan)
Problem ist 
eingegangen
OR
Problem lösen 
innerhalb des Dekanats
Problemstellung weiterleiten 
(Studiendekan*in, Engere 
Fakultät, Studienbeirat etc.)
OR
Problem wurde 
gelöst
Problem lösen 
auf Fakultätsebene
Problemeskalation 
an höhere Stelle ist 
erfolg"
47;Welche Möglichkeiten habe ich als WiSo-Student:in grundsätzlich, um ins Ausland zu gehen?;Als WiSo-Student:in hast du verschiedene Möglichkeiten, ins Ausland zu gehen. Dazu gehören gebührenfreie Auslandssemester über STAP Bachelor und STAP Master an Partneruniversitäten sowie selbstorganisierte Aufenthalte als Freemover. Außerdem gibt es Kurzzeitangebote wie die WiSo@Academic Short Programmes, das Utrecht Sociology Short Programme und Summer- beziehungsweise Winter Schools von Partnerhochschulen. Darüber hinaus kannst du ein Praktikum im Ausland absolvieren, und es stehen weitere Optionen wie der B.Sc. MES Exchange, International at home, PhD Mobility sowie Angebote im Bereich Erasmus+ und Funding zur Verfügung.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students;International;hard;"Studying abroad enhances students' academic, cultural, and language skills. 

The WiSo Faculty offers numerous ways to go abroad without extending their studies: from tuition-free single-term exchanges (STAP Bachelor/ STAP Master) and self-organised freemover stays to short-term options like WiSo@ Academic Short Programmes, the Utrecht Short Programme in Sociology, and partner universities' summer/winter schools. 

It is also possible to complete an internship abroad to combine practical experience with cultural discovery.

STAP Bachelor Term Abroad
STAP Master Term Abroad
B.Sc. MES Exchange 
Freemovers / Non-WiSo exchange
WiSo@Academic Short Programmes
Utrecht Sociology Short Programme
Summer schools
International at home
Internships abroad
PhD Mobility
Erasmus+ & Funding"
48;Welche weiteren Finanzierungsmöglichkeiten für Auslandsstudium, Forschungsaufenthalte und Praktika gibt es neben ERASMUS?;Neben ERASMUS gibt es zahlreiche weitere Möglichkeiten, finanzielle Unterstützung für Auslandsstudium, Forschungsaufenthalte und Praktika zu erhalten. Studierende und Absolvent:innen können Förderungen über verschiedene Institutionen beantragen können und nennt dazu eine Reihe empfohlener Links, zum Beispiel zu Auslands-BAföG, Stipendiendatenbanken und speziellen Förderprogrammen für Auslandsaufenthalte.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/erasmus-funding;International;medium;"Further funding possibilities for studies abroad, research placements and internships
There are numerous possibilities for students and graduates to apply for financial support through various institutions. A list of recommended links can be found below.

The Central International Office (D9) of the University of Cologne is responsible for awarding scholarships under the DAAD PROMOS scheme; for further information on funding possibilities, please click here.

A number of study and exchange programmes are funded through scholarships administered by ZIB WiSo. To receive financial support, University of Cologne students must be:

enrolled at the University of Cologne and
German citizens (as a rule)
Information on funding possibilities for international students can be found on the websites of the DAAD and the Central International Office of the University of Cologne (Dezernat 9 - International).

Please note: You can rent out your flat/room to guest students during your stay abroad."
49;Was ist das „STAP Master Term Abroad“ und welche Vorteile habe ich dadurch?;Das Study Abroad Programme (STAP) im Master bietet dir die Möglichkeit, ein einzelnes Semester an einer Partneruniversität der WiSo-Fakultät zu verbringen. Du profitierst dabei von direktem Kontakt und organisatorischer Unterstützung an der Partneruni und bist dort von den Studiengebühren befreit. Außerdem kann die WiSo-Fakultät als eine der wenigen deutschen Einrichtungen mit EQUIS-Label und als einzige deutsche Mitgliedsfakultät in den Netzwerken PIM und CEMS Austauschplätze an top gerankten Universitäten weltweit anbieten.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/stap-master-term-abroad;International;medium;The Study Abroad Programme (STAP) provides an opportunity for a single-term stay at one of the WiSo Faculty's partner universities. STAP participants benefit from direct contact and organisational support at the partner university and are exempt from paying tuition fees there. As one of the very few German institutions to have been awarded the EQUIS label and the only German member of the exclusive PIM and CEMS networks, we are able to offer exchange opportunities with top ranked universities worldwide.
50;Nach welchen Kriterien wird im STAP Master Term Abroad entschieden, wer einen Platz erhält?;Im Programm STAP Master Term Abroad werden die Bewerber:innen von ZIB WiSo auf Basis ihrer Bewerbungsunterlagen gerankt. Dieses Ranking entscheidet sowohl darüber, ob du einen STAP-Platz bekommst, als auch darüber, welche deiner bevorzugten Partneruniversitäten dir zugewiesen wird. Die genauen Auswahlkriterien sind im STAP Master Application Manual beschrieben, das auf der STAP-Master-Seite unter „Downloads“ zu finden ist.;https://wiso.uni-koeln.de/de/studium/international/international-options-for-wiso-students/stap-master-term-abroad;International;medium;"Selection criteria
ZIB WiSo ranks STAP applicants based on their application documents. This ranking determines admission and allocation to preferred partner universities. For details, see the STAP Master Application Manual under “Downloads.”"
51;Ich habe eine allgemeine Frage zu einem Auslandsaufenthalt und weiß nicht genau, an wen ich mich wenden soll. Wie nehme ich am besten Kontakt auf?;"Wenn du eine allgemeine Frage zum internationalen Austausch hast und nicht weißt, an wen du dich genau wenden sollst, nutzt du am besten das WiSSPo-Kontaktformular. Dort kannst du dein Anliegen schildern und bekommst so schnell wie möglich eine Rückmeldung. Zusätzlich kannst du einen Termin vereinbaren und das Team während der Sprechzeiten im WiSSPo im WiSo-Gebäude persönlich besuchen; eine Übersicht über Sprechzeiten und Anreise findest du auf der verlinkten WiSSPo-Webseite.";https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;Services/Info;easy;"General student enquiries
Are you a student with a general enquiry regarding international exchange and are not sure who to direct your question to? Then please use our WiSSPo contact form and we will assist you as quickly as possible.

You can also make an appointment and visit us during office hours at the WiSSPo in the WiSo building. Find an overview of our office hours and directions to the office on the WiSSPo website."
52;Wie lautet die Besuchsadresse des International Relations Center (ZIB WiSo)?;Die Besuchsadresse des International Relations Center (ZIB WiSo) ist: Aachener Str. 209, 5. und 6. Etage, Eingang über die Richard-Strauss-Str. 1, 50931 Köln.;https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;Services/Info;easy;"Visiting address
Aachener Str. 209, 5th and 6th floors
(Entrance: Richard-Strauss-Str. 1)
50931 Cologne "
53;An wen kann ich mich wenden, wenn ich mich als WiSo-Studierende:r für ein Auslandssemester interessiere – im Bachelor oder im Master?;"Wenn du dich als WiSo-Studierende:r für ein Auslandssemester interessierst, kannst du dich an das Outgoings-Team des International Relations Center (ZIB WiSo) wenden. Für Bachelor-Studierende ist Lea Deußen als Outgoing Students Coordinator (Bachelor) zuständig und unter +49 (0)221 470-91017 sowie über die Funktionsadresse outgoings@wiso.uni-koeln.de
 erreichbar. Für Master-Studierende ist Kathrin Ebel als Outgoing Students Coordinator (Master) deine Ansprechpartnerin; du erreichst sie unter +49 (0)221 470-91062, ebenfalls über outgoings@wiso.uni-koeln.de
. Zusätzlich unterstützt Veronika Langenberg das Outgoings-Team als weitere Outgoing Students Coordinator und ist unter +49 (0)221 470-91064 sowie über dieselbe E-Mail-Adresse erreichbar.";https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;Services/Info;medium;"Outgoings Team
Lea Deußen
Outgoing Students Coordinator (Bachelor)

Phone: +49 (0)221 470-91017
Email: outgoings@wiso.uni-koeln.de

 


Kathrin Ebel
Outgoing Students Coordinator (Master)

Phone: +49 (0)221 470-91062
Email: outgoings@wiso.uni-koeln.de

 


Veronika Langenberg
Outgoing Students Coordinator

Phone: +49 (0)221 470-91064
Email: outgoings@wiso.uni-koeln.de"
54;Welche Aufgaben hat das International Relations Center (ZIB WiSo) an der WiSo-Fakultät?;Das International Relations Center (ZIB WiSo) ist die zentrale Stelle für die internationalen Aktivitäten der WiSo-Fakultät. Es koordiniert die internationalen Vorhaben der Faculty of Management, Economics and Social Sciences, organisiert den Studierendenaustausch und entwickelt sowie setzt im Auftrag der Fakultät neue Internationalisierungsstrategien um. Die Internationalisierungsstrategie des ZIB WiSo fördert dabei Kooperationen in Bereichen wie Studierendenaustausch, Kurzprogramme und internationale Studienprogramme, spezielle Lehrangebote für internationale Studierende, Mitgliedschaften in internationalen Hochschulnetzwerken, Partnerschaften mit ausgewählten Universitäten und Business Schools weltweit sowie enge Kontakte zur internationalen Unternehmenspraxis.;https://wiso.uni-koeln.de/de/studium/international/international-relations-center-contact;International;medium;"International Relations Center (ZIB WiSo)
The International Relations Center (ZIB WiSo) coordinates international activities for the Faculty of Management, Economics and Social Sciences (WiSo Faculty) at the University of Cologne. Its responsibilities include managing student exchanges and developing and implementing new internationalisation strategies on behalf of the Faculty.

The ZIB WiSo internationalisation strategy promotes and supports cooperation in the following areas:

Student exchanges, short programmes and international degree programmes
Courses designed for international students
Membership in prestigious university networks
Partnerships with selected universities and business schools across the world
Close ties with the international business community"
55;Ich würde gerne an der WiSo-Fakultät studieren. Welche Fristen habe ich zu beachten und wie funktioniert das Bewerbungsverfahren?;"Wenn du im Bachelor an der WiSo-Fakultät starten möchtest, läuft die Bewerbung für das 1. Fachsemester in der Regel über das Studierendensekretariat der Universität zu Köln und erfolgt – sofern du als Bildungsinländer:in giltst – online. Die wichtigsten Fristen für die Bewerbung ins erste Fachsemester sind der 15. Januar für das Sommersemester (nur für die Bachelorstudiengänge Betriebswirtschaftslehre und Volkswirtschaftslehre) und der 15. Juli für das Wintersemester. Wenn du einen Studienplatz erhalten und ihn in KLIPS 2.0 angenommen hast, schließt sich die Einschreibung über das Studierendensekretariat an. Wenn du nicht als Bildungsinländer:in giltst, bewirbst du dich hingegen über uni-assist und das International Office; in diesem Fall musst du vor Studienstart zusätzlich das einsemestrige Programm „Studienstart International“ absolvieren.

Für Masterstudiengänge gilt: Ein Einstieg ins 1. Fachsemester ist an der WiSo-Fakultät nur zum Wintersemester möglich. Die Bewerbung erfolgt online über KLIPS, die genauen Bewerbungsfristen unterscheiden sich jedoch je nach Studiengang. Detaillierte Informationen zu Fristen, Verfahren und einzureichenden Unterlagen findest du in den Hinweisen zum Masterbewerbungsverfahren der WiSo-Fakultät.";https://wiso.uni-koeln.de/de/studium/studienorganisation/faq/allgemeine-fragen;FAQ;hard;"Vor dem Studium / für Studieninteressierte
1. Ich würde gerne an der WiSo-Fakultät studieren. Welche Fristen gibt es und wie funktioniert das Bewerbungsverfahren?
Bachelor
Die Bewerbung zum 1. Fachsemester für die Bachelorstudiengänge wird über das Studierendensekretariat der Universität zu Köln geregelt und erfolgt online, sofern Sie als Bildungsinländer*in gelten. Bitte informieren Sie sich auf der Homepage des Studierendensekretariats über das Bewerbungsverfahren. Beachten Sie bitte die Bewerbungsfristen zum ersten Fachsemester: 

15.01. für das Sommersemester (nur BWL und VWL) und
15.07. für das Wintersemester.
Wenn Sie einen Platz bekommen und diesen in KLIPS 2.0 angenommen haben, können Sie sich im Studierendensekretariat einschreiben. Die NC-Verfahrensergebnisse der vergangenen Semester können Sie hier einsehen.

Sollten Sie nicht als Bildungsinländer*in gelten, erfolgt die Bewerbung über uni-assist und das International Office. Darüber zugelassene Bachelor-Erstsemester müssen vor dem Start des Studiums das einsemestrige Programm ""Studienstart International"" verpflichtend durchlaufen.

Master
Masterstudiengänge starten zum 1. Fachsemester an der Wiso-Fakultät nur zum Wintersemester. Die Bewerbung erfolgt online über KLIPS. Die Bewerbungsfristen variieren hinsichtlich der Studiengänge. Genauere Informationen zum Bewerbungsverfahren sowie einzureichende Unterlagen entnehmen Sie bitte unseren Seite zum Masterbewerbungsverfahren."
